,share_name_index,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
1700,DGII [NASD],USA,Communication Equipment,642.04M,65.79,203.26K,-18.40%,106.55%,3.3,501 to 1000 Employees,1985,$100 to $500 million (USD),51,62
1702,DGLY [NASD],USA,Security & Protection Services,91.61M,-1,4.49M,86.10%,0.00%,3,51 to 200 Employees,1996,$10 to $25 million (USD),41,47
1713,"DGX [NYSE, S&P 500]",USA,Diagnostics & Research,16.77B,-1,1.18M,70.70%,-27.88%,3.5,10000+ Employees,1967,$5 to $10 billion (USD),66,82
1721,"DHI [NYSE, S&P 500]",USA,Residential Construction,32.10B,-1,3.22M,49.50%,12.28%,3.5,5001 to 10000 Employees,1978,$10+ billion (USD),56,84
1722,DHIL [NASD],USA,Asset Management,539.96M,10.42,10.63K,-24.80%,0.00%,3.8,51 to 200 Employees,2000,$25 to $50 million (USD),62,69
1723,"DHR [NYSE, S&P 500]",USA,Diagnostics & Research,182.73B,7.64,2.47M,49.80%,2.25%,4,10000+ Employees,1984,$10+ billion (USD),74,88
1726,DHX [NYSE],USA,Staffing & Employment Services,138.85M,40.47,166.54K,-355.80%,54.55%,4.1,201 to 500 Employees,2007,$100 to $500 million (USD),75,81
1734,DIN [NYSE],USA,Restaurants,1.46B,-1,281.49K,-210.00%,11.52%,3.6,501 to 1000 Employees,2007,$500 million to $1 billion (USD),64,61
1736,DIOD [NASD],USA,Semiconductors,3.32B,-1,288.47K,-36.30%,7.24%,3,1001 to 5000 Employees,1959,$500 million to $1 billion (USD),43,37
1737,"DIS [NYSE, DJIA, S&P500]",USA,Entertainment,311.85B,-1,8.74M,500.20%,111.63%,4,10000+ Employees,1923,$10+ billion (USD),81,77
1739,"DISCA [NASD, S&P 500]",USA,Entertainment,14.06B,11.87,16.23M,-37.10%,16.45%,3.9,10000+ Employees,1985,$5 to $10 billion (USD),77,85
1740,"DISCK [NASD, S&P 500]",USA,Entertainment,1.33B,24.47,9.25M,-11.60%,14.10%,3.9,10000+ Employees,1985,$5 to $10 billion (USD),77,85
1741,"DISH [NASD, S&P 500]",USA,Entertainment,21.11B,8.46,3.44M,15.90%,-18.71%,3.1,10000+ Employees,1980,$10+ billion (USD),46,53
1742,DIT [AMEX],USA,Food Distribution,80.17M,-1,0.67K,-107.40%,0.00%,2.9,501 to 1000 Employees,1981,$1 to $2 billion (USD),47,50
1749,DJCO [NASD],USA,Publishing,467.17M,-1,4.69K,-116.00%,0.00%,2.4,201 to 500 Employees,1987,$25 to $50 million (USD),26,24
1753,DK [NYSE],USA,Oil & Gas Refining & Marketing,1.56B,-1,822.43K,-312.90%,152.40%,3.2,1001 to 5000 Employees,2001,$10+ billion (USD),61,61
1755,DKNG [NASD],USA,Gambling,19.46B,-1,17.39M,708.50%,36.80%,4.4,1001 to 5000 Employees,2012,$100 to $500 million (USD),92,98
1756,DKS [NYSE],USA,Specialty Retail,7.96B,-1,1.79M,71.40%,-17.82%,3.7,10000+ Employees,1948,$5 to $10 billion (USD),74,90
1757,DLA [AMEX],USA,Apparel Manufacturing,203.06M,-1,26.81K,-231.00%,11.94%,2.3,5001 to 10000 Employees,1999,$100 to $500 million (USD),12,67
1758,DLB [NYSE],USA,Entertainment,9.76B,10.07,454.28K,-34.20%,10.04%,4.3,1001 to 5000 Employees,1965,$1 to $2 billion (USD),88,91
1765,"DLR [NYSE, S&P 500]",USA,REIT - Office,43.89B,-1,1.30M,708.50%,13.20%,4.4,1001 to 5000 Employees,2004,$1 to $2 billion (USD),87,95
1767,DLTH [NASD],USA,Apparel Retail,530.71M,3.87,210.50K,-28.10%,40.85%,3.7,1001 to 5000 Employees,1989,$500 million to $1 billion (USD),62,81
1768,"DLTR [NASD, S&P 500]",USA,Discount Stores,22.93B,-1,2.00M,62.90%,13.97%,3.2,10000+ Employees,1996,$10+ billion (USD),47,56
1769,DLX [NYSE],USA,Advertising Agencies,1.77B,15.33,241.08K,104.50%,4.99%,3.4,5001 to 10000 Employees,1915,$1 to $2 billion (USD),60,70
1770,DM [NYSE],USA,Computer Hardware,3.19B,-1,4.10M,-396.10%,16.70%,4.3,201 to 500 Employees,2015,$100 to $500 million (USD),84,85
1774,DMLP [NASD],USA,Oil & Gas E&P,552.76M,56.1,60.49K,-59.20%,0.00%,3.3,1 to 50 Employees,1996,$25 to $50 million (USD),56,100
1776,DMRC [NASD],USA,Information Technology Services,528.70M,83.76,160.62K,-22.10%,13.30%,3.4,201 to 500 Employees,1995,$10 to $25 million (USD),58,69
1778,DMS [NYSE],USA,Advertising Agencies,597.02M,23.55,77.32K,-32.20%,43.92%,4.2,10000+ Employees,1939,$100 to $500 million (USD),87,94
1779,DMTK [NASD],USA,Diagnostics & Research,1.31B,-1,1.18M,26.10%,-10.40%,3.3,51 to 200 Employees,1995,$1 to $5 million (USD),62,100
1782,DNB [NYSE],USA,Information Technology Services,9.02B,-1,1.82M,65.10%,11.70%,3.5,1001 to 5000 Employees,1841,$100 to $500 million (USD),57,76
1784,DNLI [NASD],USA,Biotechnology,8.84B,-1,512.50K,130.50%,-12.60%,3.7,51 to 200 Employees,1996,Less than $1 million (USD),67,100
1785,DNMR [NYSE],USA,Specialty Chemicals,1.95B,18.03,2.98M,50.00%,60.00%,3.9,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
1790,DOC [NYSE],USA,REIT - Healthcare Facilities,4.06B,57.75,2.06M,895.36%,8.91%,4.7,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
1791,DOCN [NYSE],USA,Software - Infrastructure,4.99B,49.53,565.05K,708.50%,145.91%,4.5,501 to 1000 Employees,2012,$100 to $500 million (USD),92,94
1792,DOCU [NASD],USA,Software - Application,51.37B,-1,2.92M,500.20%,27.01%,4.6,5001 to 10000 Employees,2003,$1 to $2 billion (USD),92,98
1794,DOGZ [NASD],China,Household & Personal Products,55.08M,-1,976.63K,-694.30%,525.00%,1,1001 to 5000 Employees,2003,$100 to $500 million (USD),0,100
1796,DOMO [NASD],USA,Software - Application,2.42B,-1,399.23K,36.80%,37.80%,4.4,501 to 1000 Employees,2010,$100 to $500 million (USD),85,89
1800,DOOR [NYSE],USA,Building Products & Equipment,2.66B,31.67,126.70K,57.90%,15.35%,3.4,5001 to 10000 Employees,1928,$2 to $5 billion (USD),66,91
1801,DORM [NASD],USA,Auto Parts,3.13B,11.17,114.87K,28.80%,10.63%,3.2,1001 to 5000 Employees,1918,$500 million to $1 billion (USD),52,72
1802,"DOV [NYSE, S&P 500]",USA,Specialty Industrial Machinery,20.38B,27.32,658.93K,1.90%,8.90%,3.4,10000+ Employees,1955,$5 to $10 billion (USD),59,87
1803,"DOW [NYSE, DJIA, S&P500]",USA,Chemicals,46.29B,19.75,4.41M,167.40%,-15.65%,4.1,10000+ Employees,1897,$10+ billion (USD),84,87
1804,DOX [NASD],USA,Software - Infrastructure,10.17B,28.03,844.83K,6.80%,8.70%,3.8,10000+ Employees,1982,$2 to $5 billion (USD),81,90
1805,DOYU [NASD],China,Internet Content & Information,2.69B,18.82,2.74M,500.20%,390.00%,4,1001 to 5000 Employees,1996,$100 to $500 million (USD),0,100
1809,"DPZ [NYSE, S&P 500]",USA,Restaurants,17.69B,15.05,585.69K,29.70%,15.52%,3.5,10000+ Employees,1960,$1 to $2 billion (USD),62,70
1810,DQ [NYSE],China,Semiconductor Equipment & Materials,4.37B,119.57,2.67M,324.50%,-0.54%,4,1001 to 5000 Employees,1996,$1 to $2 billion (USD),100,100
1811,DRD [NYSE],South Africa,Gold,903.00M,7.52,266.60K,601.80%,-53.44%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
1812,"DRE [NYSE, S&P 500]",USA,REIT - Industrial,17.99B,9.98,1.91M,708.50%,1.63%,4,201 to 500 Employees,1972,$500 million to $1 billion (USD),67,100
1813,DRH [NYSE],USA,REIT - Hotel & Motel,2.08B,21.86,1.83M,500.20%,112.10%,5,1 to 50 Employees,1996,$500 million to $1 billion (USD),100,100
1815,DRIO [NASD],USA,Diagnostics & Research,341.18M,63.64,269.67K,39.80%,23.30%,4.7,51 to 200 Employees,1996,$100 to $500 million (USD),96,100
1819,DRNA [NASD],USA,Biotechnology,2.50B,18.46,736.45K,13.70%,-126.00%,4.6,51 to 200 Employees,2007,$100 to $500 million (USD),95,99
1820,DRQ [NYSE],USA,Oil & Gas Equipment & Services,1.29B,-1,211.63K,-300.00%,120.00%,3.5,1001 to 5000 Employees,1981,$500 million to $1 billion (USD),45,67
1821,DRRX [NASD],USA,Drug Manufacturers - Specialty & Generic,393.23M,-1,779.34K,-40.10%,-160.00%,2.6,51 to 200 Employees,1998,$10 to $25 million (USD),33,0
1825,DRVN [NASD],USA,Auto & Truck Dealerships,4.76B,-1,495.12K,-154.30%,17.91%,2.5,1001 to 5000 Employees,2006,$100 to $500 million (USD),37,43
1827,DS [NYSE],USA,Leisure,321.33M,-1,2.56M,-2.30%,-4.00%,2.9,1001 to 5000 Employees,1996,$100 to $500 million (USD),34,14
1830,DSEY [NASD],United Kingdom,Personal Services,5.27B,-1,1.15M,64.70%,25.61%,3.6,5001 to 10000 Employees,1996,$2 to $5 billion (USD),62,84
1832,DSGX [NASD],Canada,Software - Application,5.58B,-1,88.41K,36.10%,10.21%,4.2,1001 to 5000 Employees,1981,$100 to $500 million (USD),85,98
1834,DSKE [NASD],USA,Trucking,437.33M,-1,466.03K,-99.80%,194.74%,1.9,1001 to 5000 Employees,1996,$100 to $500 million (USD),0,100
1837,DSP [NASD],USA,Software - Application,1.68B,-1,378.09K,133.60%,-17.40%,4,5001 to 10000 Employees,2007,$500 million to $1 billion (USD),67,90
1838,DSPG [NASD],USA,Semiconductors,365.92M,55.29,160.56K,500.20%,43.49%,4.4,201 to 500 Employees,1987,$100 to $500 million (USD),99,99
1839,DSS [AMEX],USA,Specialty Business Services,46.03M,11.95,3.27M,119.40%,19.40%,3.6,51 to 200 Employees,1984,$10 to $25 million (USD),0,100
1844,DSX [NYSE],Greece,Marine Shipping,438.30M,761.33,1.25M,848.96%,274.76%,4.4,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
1845,DT [NYSE],USA,Software - Application,15.90B,-1,1.55M,116.90%,26.29%,4.4,1001 to 5000 Employees,2005,$100 to $500 million (USD),90,96
1847,"DTE [NYSE, S&P 500]",USA,Utilities - Regulated Electric,25.45B,-1,920.76K,12.20%,2.01%,4.1,10000+ Employees,1903,$10+ billion (USD),78,92
1848,DTEA [NASD],Canada,Packaged Foods,131.17M,-1,271.30K,-82.10%,0.00%,3.6,1001 to 5000 Employees,2008,$100 to $500 million (USD),57,30
1852,DTIL [NASD],USA,Biotechnology,615.74M,-1,643.79K,5.30%,-15.70%,4.9,201 to 500 Employees,2006,$100 to $500 million (USD),97,100
1857,DTST [NASD],USA,Information Technology Services,25.53M,-1,60.37K,196.70%,0.00%,4,1 to 50 Employees,1996,$1 to $5 million (USD),66,100
1860,"DUK [NYSE, S&P 500]",USA,Utilities - Regulated Electric,76.46B,57.38,3.52M,848.96%,5.56%,4,10000+ Employees,1917,$10+ billion (USD),81,85
1865,DUOT [NASD],USA,Software - Application,37.71M,-1,30.38K,-46.50%,0.00%,1.8,51 to 200 Employees,1996,$10 to $25 million (USD),22,40
1870,DV [NYSE],USA,Software - Application,5.79B,244.62,663.99K,-12.20%,71.37%,3.9,201 to 500 Employees,2008,$100 to $500 million (USD),76,100
1871,"DVA [NYSE, S&P 500]",USA,Medical Care Facilities,12.87B,96.38,643.19K,39.30%,12.35%,3.5,10000+ Employees,1994,$1 to $2 billion (USD),65,84
1872,DVAX [NASD],USA,Biotechnology,1.04B,18.26,2.74M,65.50%,-1.47%,3,201 to 500 Employees,1996,$10 to $25 million (USD),52,65
1873,DVD [NYSE],USA,Leisure,84.89M,12.68,27.96K,36.50%,0.00%,3.1,51 to 200 Employees,1996,$25 to $50 million (USD),47,73
1875,"DVN [NYSE, S&P 500]",USA,Oil & Gas E&P,18.17B,16.69,11.15M,2544.40%,31.65%,3.9,5001 to 10000 Employees,1996,$10+ billion (USD),65,53
1888,DWSN [NASD],USA,Oil & Gas Equipment & Services,60.87M,-1,39.18K,14.00%,0.00%,4.3,1001 to 5000 Employees,1996,$100 to $500 million (USD),79,100
1891,DX [NYSE],USA,REIT - Mortgage,595.35M,-1,463.17K,198.80%,0.47%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
1892,"DXC [NYSE, S&P 500]",USA,Information Technology Services,9.21B,1.21,2.39M,97.10%,21.65%,3.3,10000+ Employees,2017,$10+ billion (USD),59,80
1893,"DXCM [NASD, S&P 500]",USA,Diagnostics & Research,40.33B,10.02,769.32K,362.20%,47.19%,4.1,5001 to 10000 Employees,1999,$1 to $2 billion (USD),80,90
1898,DXPE [NASD],USA,Industrial Distribution,542.92M,-1,84.10K,-183.30%,0.00%,3.1,1001 to 5000 Employees,1908,$1 to $2 billion (USD),55,67
1899,DXR [AMEX],USA,Asset Management,48.88M,-1,18.82K,-227.50%,0.00%,1.6,1 to 50 Employees,1996,$1 to $5 million (USD),21,0
1903,EAF [NYSE],USA,Electrical Equipment & Parts,3.07B,-1,2.91M,-37.10%,25.73%,2.9,201 to 500 Employees,1993,Less than $1 million (USD),41,55
1906,EAR [NASD],USA,Medical Devices,1.39B,7.62,575.56K,-51.60%,30.90%,4.3,201 to 500 Employees,2010,$100 to $500 million (USD),82,86
1908,EARS [NASD],Bermuda,Biotechnology,41.20M,-1,3.70M,40.20%,0.00%,3.7,201 to 500 Employees,2007,$25 to $50 million (USD),66,84
1910,EAST [NASD],USA,Beverages - Wineries & Distilleries,33.75M,-1,289.57K,32.00%,48.10%,4.1,1 to 50 Employees,1996,$1 to $5 million (USD),59,100
1911,EAT [NYSE],USA,Restaurants,2.54B,-1,1.03M,-84.20%,61.40%,3.7,10000+ Employees,1975,$2 to $5 billion (USD),70,89
1913,EB [NYSE],USA,Software - Application,1.79B,11.17,1.34M,500.20%,65.80%,4,501 to 1000 Employees,2006,$100 to $500 million (USD),76,76
1915,"EBAY [NASD, S&P 500]",USA,Internet Retail,42.85B,-1,7.59M,99.90%,14.50%,4,10000+ Employees,1995,$10+ billion (USD),77,88
1916,EBC [NASD],USA,Banks - Regional,3.99B,-1,985.80K,-83.20%,34.97%,4.1,1001 to 5000 Employees,1989,$500 million to $1 billion (USD),83,94
1918,EBF [NYSE],USA,Business Equipment & Supplies,531.07M,-1,97.84K,-37.00%,0.00%,2.9,1001 to 5000 Employees,1909,$100 to $500 million (USD),42,44
1919,EBIX [NASD],USA,Software - Application,956.96M,-1,397.63K,-4.40%,27.15%,3,5001 to 10000 Employees,1967,$100 to $500 million (USD),43,38
1924,EBR [NYSE],Brazil,Utilities - Regulated Electric,14.12B,-1,1.05M,-19.20%,0.00%,4.2,10000+ Employees,1996,$10+ billion (USD),91,100
1925,EBR-B [NYSE],Brazil,Utilities - Regulated Electric,14.01B,-1,32.68K,-19.20%,0.00%,4.2,10000+ Employees,1996,$10+ billion (USD),91,100
1926,EBS [NYSE],USA,Drug Manufacturers - Specialty & Generic,3.35B,-1,830.26K,445.20%,-37.22%,3.3,1001 to 5000 Employees,1998,$1 to $2 billion (USD),61,78
1927,EBSB [NASD],USA,Banks - Regional,1.08B,-1,359.28K,-0.80%,50.20%,3.5,51 to 200 Employees,1996,$50 to $100 million (USD),54,100
1928,EBTC [NASD],USA,Banks - Regional,407.32M,12.02,14.40K,-8.70%,0.00%,4.2,201 to 500 Employees,1988,$50 to $100 million (USD),97,100
1929,EC [NYSE],Colombia,Oil & Gas Integrated,26.46B,-1,1.01M,-87.30%,1.65%,4.3,5001 to 10000 Employees,1996,$10+ billion (USD),85,99
1930,ECOR [NASD],USA,Medical Instruments & Supplies,78.78M,-1,670.27K,-60.80%,19.00%,2.5,1 to 50 Employees,1996,$1 to $5 million (USD),27,100
1931,ECPG [NASD],USA,Mortgage Finance,1.46B,-1,268.80K,25.30%,-7.20%,3.7,5001 to 10000 Employees,1953,$1 to $2 billion (USD),66,80
1932,"ED [NYSE, S&P 500]",USA,Utilities - Regulated Electric,25.47B,4.75,2.07M,-19.50%,6.27%,3.9,10000+ Employees,1997,$10+ billion (USD),84,88
1933,EDAP [NASD],France,Medical Devices,193.39M,5.63,267.06K,708.50%,60.56%,5,1 to 50 Employees,1996,$25 to $50 million (USD),100,100
1939,EDIT [NASD],USA,Biotechnology,2.40B,-1,1.33M,-26.00%,-3.70%,2.7,201 to 500 Employees,2013,$50 to $100 million (USD),32,0
1945,EDR [NYSE],USA,Entertainment,11.67B,-1,1.94M,-19.30%,152.02%,3.5,1001 to 5000 Employees,1898,$100 to $500 million (USD),57,72
1950,EDU [NYSE],China,Education & Training Services,13.27B,31.63,27.75M,73.10%,51.03%,3.9,10000+ Employees,1993,$50 to $100 million (USD),62,97
1951,EDUC [NASD],USA,Publishing,111.77M,17.21,26.69K,120.90%,0.00%,3.1,201 to 500 Employees,1965,$100 to $500 million (USD),54,52
1956,EEFT [NASD],USA,Software - Infrastructure,7.51B,-1,346.53K,-101.10%,70.23%,3.6,5001 to 10000 Employees,1994,$1 to $2 billion (USD),63,95
1969,EEX [NYSE],USA,Advertising Agencies,363.37M,-1,163.54K,28.60%,-1.39%,3.6,201 to 500 Employees,2013,$1 to $5 million (USD),68,100
1980,EFOI [NASD],USA,"Furnishings, Fixtures & Appliances",15.54M,-1,1.07M,-38.90%,0.00%,2.6,1 to 50 Employees,1985,$10 to $25 million (USD),40,81
1982,EFSC [NASD],USA,Banks - Regional,1.43B,-1,154.77K,-22.30%,1.53%,4.3,501 to 1000 Employees,1994,$5 to $10 billion (USD),85,89
1985,"EFX [NYSE, S&P 500]",USA,Consulting Services,28.09B,11.2,704.32K,228.40%,19.19%,3.6,10000+ Employees,1899,$2 to $5 billion (USD),67,85
1987,EGAN [NASD],USA,Software - Application,339.94M,-1,202.81K,64.30%,-9.86%,3.5,501 to 1000 Employees,1997,$50 to $100 million (USD),62,77
1988,EGBN [NASD],USA,Banks - Regional,1.71B,-1,136.38K,-2.20%,-6.38%,3.7,201 to 500 Employees,1998,$5 to $10 billion (USD),65,75
1990,EGHT [NYSE],USA,Software - Application,2.76B,-1,1.34M,9.10%,266.67%,4.3,1001 to 5000 Employees,1987,$100 to $500 million (USD),86,100
1991,EGLE [NASD],USA,Marine Shipping,601.83M,140.32,163.40K,-59.80%,6.71%,3.4,51 to 200 Employees,2005,$50 to $100 million (USD),43,100
1993,EGO [NYSE],Canada,Gold,1.87B,5.98,1.60M,19.60%,30.53%,4.6,1001 to 5000 Employees,1996,$100 to $500 million (USD),83,100
1994,EGP [NYSE],USA,REIT - Industrial,6.65B,-1,169.82K,848.96%,7.60%,4.7,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
1996,EGRX [NASD],USA,Drug Manufacturers - Specialty & Generic,564.43M,15.28,110.54K,848.96%,26.97%,4.9,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
1997,EGY [NYSE],USA,Oil & Gas E&P,176.25M,12.22,283.28K,450.00%,52.27%,3.1,51 to 200 Employees,1996,$50 to $100 million (USD),47,100
1998,EH [NASD],China,Aerospace & Defense,1.97B,-1,2.60M,-15.50%,1210.00%,1.3,51 to 200 Employees,1996,$100 to $500 million (USD),6,100
1999,EHC [NYSE],USA,Medical Care Facilities,7.87B,56.47,584.80K,-21.20%,6.90%,3.5,10000+ Employees,1984,$2 to $5 billion (USD),63,82
2002,EHTH [NASD],USA,Insurance Brokers,1.58B,-1,416.52K,-38.30%,33.87%,3.7,1001 to 5000 Employees,1997,$100 to $500 million (USD),61,72
2004,EIG [NYSE],USA,Insurance - Specialty,1.16B,48.69,183.71K,848.96%,-0.61%,4.6,501 to 1000 Employees,1913,$500 million to $1 billion (USD),89,100
2010,"EIX [NYSE, S&P 500]",USA,Utilities - Regulated Electric,20.91B,25.85,1.90M,-47.50%,4.29%,3.3,10000+ Employees,1987,$10+ billion (USD),56,100
2015,EKSO [NASD],USA,Medical Instruments & Supplies,68.11M,-1,327.63K,12.70%,-6.90%,3.8,51 to 200 Employees,2005,$5 to $10 million (USD),62,0
2016,"EL [NYSE, S&P 500]",USA,Household & Personal Products,106.57B,-1,1.27M,708.50%,15.81%,4,10000+ Employees,1946,$10+ billion (USD),79,94
2018,ELAN [NYSE],USA,Drug Manufacturers - Specialty & Generic,16.35B,-1,4.00M,-792.00%,29.55%,3.8,5001 to 10000 Employees,1954,$2 to $5 billion (USD),71,84
2021,ELF [NYSE],USA,Household & Personal Products,1.39B,-1,507.71K,-65.90%,18.15%,3.9,1001 to 5000 Employees,1996,$10 to $25 million (USD),82,71
2023,ELMD [AMEX],USA,Medical Devices,98.24M,-1,60.56K,-105.50%,55.56%,2.9,51 to 200 Employees,1995,$25 to $50 million (USD),52,100
2024,ELOX [NASD],USA,Biotechnology,174.49M,-1,1.59M,35.50%,5.20%,3.4,1 to 50 Employees,1996,$100 to $500 million (USD),45,100
2025,ELP [NYSE],Brazil,Utilities - Diversified,3.25B,-1,1.88M,82.50%,0.00%,3.7,5001 to 10000 Employees,1996,$2 to $5 billion (USD),68,38
2026,ELS [NYSE],USA,REIT - Residential,13.78B,30.41,843.48K,-18.50%,12.15%,3.6,1001 to 5000 Employees,1969,$500 million to $1 billion (USD),64,87
2029,ELVT [NYSE],USA,Credit Services,139.83M,-1,457.88K,46.70%,80.13%,4,501 to 1000 Employees,2014,$100 to $500 million (USD),79,87
2030,ELY [NYSE],USA,Leisure,6.04B,61.66,2.46M,-263.40%,212.50%,3.8,1001 to 5000 Employees,1982,$1 to $2 billion (USD),65,81
2033,EMAN [AMEX],USA,Semiconductor Equipment & Materials,274.85M,33.46,1.71M,-112.10%,58.80%,3.7,51 to 200 Employees,1996,$10 to $25 million (USD),100,100
2040,EME [NYSE],USA,Engineering & Construction,6.36B,46.09,266.65K,-58.30%,7.10%,3.5,10000+ Employees,1996,$5 to $10 billion (USD),53,73
2046,EMKR [NASD],USA,Semiconductors,360.96M,-1,528.66K,-81.30%,19.22%,2.8,501 to 1000 Employees,1984,$50 to $100 million (USD),38,43
2050,"EMN [NYSE, S&P 500]",USA,Chemicals,15.54B,31.66,814.86K,-36.10%,5.79%,3.9,10000+ Employees,1920,$5 to $10 billion (USD),78,75
2054,"EMR [NYSE, S&P 500]",USA,Specialty Industrial Machinery,55.65B,-1,2.78M,-12.80%,11.18%,3.7,10000+ Employees,1890,$10+ billion (USD),74,93
2060,ENB [NYSE],Canada,Oil & Gas Midstream,80.33B,15.34,4.22M,-44.00%,14.46%,3.9,10000+ Employees,1949,$10+ billion (USD),78,76
2061,ENBL [NYSE],USA,Oil & Gas Midstream,3.85B,15.63,1.04M,-85.60%,14.07%,4.1,201 to 500 Employees,1996,$10 to $25 million (USD),84,68
2062,ENDP [NASD],Ireland,Drug Manufacturers - Specialty & Generic,1.18B,38.8,3.25M,131.60%,-5.36%,4.1,1001 to 5000 Employees,1997,$100 to $500 million (USD),77,88
2065,ENG [NASD],USA,Engineering & Construction,93.38M,2.51,1.40M,-57.50%,0.00%,2.7,201 to 500 Employees,1984,$50 to $100 million (USD),37,60
2067,ENIC [NYSE],Chile,Utilities - Regulated Electric,3.84B,-1,871.63K,-117.20%,12.16%,3.8,10000+ Employees,1963,$10+ billion (USD),78,80
2068,ENLC [NYSE],USA,Oil & Gas Midstream,2.77B,-1,2.28M,64.30%,140.00%,3.5,1001 to 5000 Employees,2014,$1 to $2 billion (USD),69,61
2073,"ENPH [NASD, S&P 500]",USA,Solar,21.95B,-1,3.18M,500.20%,34.98%,4,501 to 1000 Employees,2006,$100 to $500 million (USD),80,88
2074,ENR [NYSE],USA,Electrical Equipment & Parts,2.88B,-1,499.15K,-39.40%,8.46%,3.6,1001 to 5000 Employees,2015,$2 to $5 billion (USD),60,60
2075,ENS [NYSE],USA,Electrical Equipment & Parts,3.99B,-1,255.17K,3.80%,21.58%,3.2,5001 to 10000 Employees,1965,$2 to $5 billion (USD),54,51
2076,ENSG [NASD],USA,Medical Care Facilities,4.53B,270.11,296.70K,86.60%,8.30%,3.4,10000+ Employees,1999,$1 to $2 billion (USD),67,80
2077,ENSV [AMEX],USA,Oil & Gas Equipment & Services,14.88M,61.93,418.03K,60.30%,48.20%,3.4,201 to 500 Employees,1996,$10 to $25 million (USD),100,100
2078,ENTA [NASD],USA,Biotechnology,938.58M,132.52,117.71K,-182.00%,90.20%,3.8,51 to 200 Employees,1995,$50 to $100 million (USD),83,100
2079,ENTG [NASD],USA,Semiconductor Equipment & Materials,15.77B,11.33,890.07K,16.00%,18.16%,3.8,1001 to 5000 Employees,1966,$1 to $2 billion (USD),77,93
2082,ENV [NYSE],USA,Software - Application,4.21B,-1,626.71K,82.40%,9.08%,4.1,1001 to 5000 Employees,1999,$100 to $500 million (USD),86,96
2083,ENVA [NYSE],USA,Credit Services,1.22B,-1,318.53K,214.60%,6.60%,4.1,1001 to 5000 Employees,2003,$1 to $2 billion (USD),82,91
2091,"EOG [NYSE, S&P 500]",USA,Oil & Gas E&P,46.68B,-1,3.99M,-122.20%,4.50%,4.1,1001 to 5000 Employees,1996,$5 to $10 billion (USD),93,99
2093,EOLS [NASD],USA,Drug Manufacturers - Specialty & Generic,635.05M,12.52,951.91K,848.96%,58.20%,4.7,1 to 50 Employees,2012,$100 to $500 million (USD),100,100
2095,EOSE [NASD],USA,Electrical Equipment & Parts,977.64M,-1,794.83K,84.40%,52.60%,3.3,51 to 200 Employees,2008,$5 to $10 million (USD),61,100
2097,EPAC [NYSE],USA,Specialty Industrial Machinery,1.45B,-1,213.38K,14.50%,69.49%,3.7,1001 to 5000 Employees,1910,$1 to $2 billion (USD),77,78
2098,EPAM [NYSE],USA,Information Technology Services,28.64B,4.76,329.81K,23.70%,23.43%,4.2,10000+ Employees,1993,$2 to $5 billion (USD),88,96
2099,EPAY [NASD],USA,Software - Infrastructure,1.65B,-1,362.50K,-197.70%,5.72%,3.9,1001 to 5000 Employees,1989,$100 to $500 million (USD),73,89
2101,EPD [NYSE],USA,Oil & Gas Midstream,51.60B,14.22,5.90M,848.96%,-0.83%,4,5001 to 10000 Employees,1968,$10+ billion (USD),83,83
2112,EPRT [NYSE],USA,REIT - Diversified,3.21B,-1,956.58K,500.20%,7.75%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
2114,EPSN [NASD],USA,Oil & Gas E&P,106.63M,62.71,34.81K,-89.10%,0.00%,3.7,5001 to 10000 Employees,1969,$2 to $5 billion (USD),70,83
2118,EPZM [NASD],USA,Biotechnology,870.85M,32.93,1.11M,-19.10%,19.20%,3.2,51 to 200 Employees,1996,$5 to $10 million (USD),48,49
2119,EQ [NASD],USA,Biotechnology,195.11M,-1,167.47K,0.60%,-16.40%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
2122,EQC [NYSE],USA,REIT - Office,3.35B,-1,1.12M,848.96%,41.70%,4.7,51 to 200 Employees,1996,$500 million to $1 billion (USD),100,100
2123,EQH [NYSE],USA,Insurance - Diversified,12.26B,12.26,3.20M,56.40%,12.01%,3.6,5001 to 10000 Employees,1859,$500 million to $1 billion (USD),55,88
2126,EQNR [NYSE],Norway,Oil & Gas Integrated,65.08B,-1,2.38M,-404.90%,-11.93%,3.7,10000+ Employees,1972,$10+ billion (USD),65,75
2127,EQOS [NASD],Hong Kong,Capital Markets,254.13M,4.79,1.12M,-41.50%,0.00%,4.1,51 to 200 Employees,2016,$100 to $500 million (USD),78,79
2128,"EQR [NYSE, S&P 500]",USA,REIT - Residential,29.05B,180.08,2.23M,-5.70%,18.04%,4.3,1001 to 5000 Employees,1993,$2 to $5 billion (USD),89,97
