,share_name_index,company_name,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,rating_count,Headquarters,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
1776,DMRC [NASD],Digimarc Corporation,USA,Information Technology Services,528.70M,83.76,160.62K,-22.10%,13.30%,3.4,,"Beaverton, OR",201 to 500 Employees,1995,$10 to $25 million (USD),58,69
1777,DMRL [NYSE],DeltaShares S&P 500 Managed Risk ETF,USA,Exchange Traded Fund,-,-,3.72K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1778,DMS [NYSE],"Digital Media Solutions, Inc.",USA,Advertising Agencies,597.02M,23.55,77.32K,-32.20%,43.92%,4.2,,"Palo Alto, CA",10000+ Employees,1939,Unknown / Non-Applicable,87,94
1779,DMTK [NASD],"DermTech, Inc.",USA,Diagnostics & Research,1.31B,-,1.18M,26.10%,-10.40%,3.3,,"La Jolla, CA",51 to 200 Employees,1995,$1 to $5 million (USD),62,-1
1780,DMYI [NYSE],"dMY Technology Group, Inc. III",USA,Shell Companies,308.70M,-,444.78K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1781,DMYQ [NYSE],"dMY Technology Group, Inc. IV",USA,Shell Companies,424.94M,-,44.07K,-,-,3.9,,"Sterling, VA",1 to 50 Employees,null,Unknown / Non-Applicable,54,100
1782,DNB [NYSE],"Dun & Bradstreet Holdings, Inc.",USA,Information Technology Services,9.02B,-,1.82M,65.10%,11.70%,3.5,,"Short Hills, NJ",1001 to 5000 Employees,1841,Unknown / Non-Applicable,57,76
1783,DNL [NYSE],WisdomTree Global ex-U.S. Quality Dividend Growth Fund,USA,Exchange Traded Fund,-,-,32.92K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1784,DNLI [NASD],Denali Therapeutics Inc.,USA,Biotechnology,8.84B,-,512.50K,130.50%,-12.60%,3.7,,"South San Francisco, CA",51 to 200 Employees,null,Less than $1 million (USD),67,100
1785,DNMR [NYSE],"Danimer Scientific, Inc.",USA,Specialty Chemicals,1.95B,18.03,2.98M,50.00%,60.00%,3.9,,"Bainbridge, GA",51 to 200 Employees,null,Unknown / Non-Applicable,100,100
1786,DNN [AMEX],Denison Mines Corp.,Canada,Uranium,1.09B,-,15.50M,15.70%,33.30%,-1,,"Toronto, Canada",51 to 200 Employees,null,$100 to $500 million (USD),-1,-1
1787,DNOV [AMEX],FT Cboe Vest US Eq Deep Buffer ETF - November,USA,Exchange Traded Fund,-,-,11.48K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1788,DNOW [NYSE],NOW Inc.,USA,Oil & Gas Equipment & Services,1.06B,546.15,574.33K,-340.20%,1600.00%,-1,-1,-1,-1,-1,-1,-1,-1
1789,DNP [NYSE],DNP Select Income Fund Inc.,USA,Closed-End Fund - Equity,3.22B,-,746.44K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1790,DOC [NYSE],Physicians Realty Trust,USA,REIT - Healthcare Facilities,4.06B,57.75,2.06M,-19.80%,8.91%,4.7,,"Milwaukee, WI",1 to 50 Employees,null,$100 to $500 million (USD),100,-1
1791,DOCN [NYSE],"DigitalOcean Holdings, Inc.",USA,Software - Infrastructure,4.99B,49.53,565.05K,-7.90%,145.91%,4.5,,"New York, NY",501 to 1000 Employees,2012,$100 to $500 million (USD),92,94
1792,DOCU [NASD],"DocuSign, Inc.",USA,Software - Application,51.37B,-,2.92M,-11.10%,27.01%,4.6,,"San Francisco, CA",5001 to 10000 Employees,2003,$1 to $2 billion (USD),92,98
1793,DOG [NYSE],ProShares Short Dow30,USA,Exchange Traded Fund,-,86.88,742.59K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1794,DOGZ [NASD],Dogness (International) Corporation,China,Household & Personal Products,55.08M,-,976.63K,-694.30%,525.00%,1,,"Dongguan, China",Unknown,2003,Unknown / Non-Applicable,0,-1
1795,DOL [NYSE],WisdomTree International LargeCap Dividend Fund,USA,Exchange Traded Fund,-,128.54,18.47K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1796,DOMO [NASD],"Domo, Inc.",USA,Software - Application,2.42B,-,399.23K,36.80%,37.80%,4.4,,"American Fork, UT",501 to 1000 Employees,2010,Unknown / Non-Applicable,85,89
1797,DON [NYSE],WisdomTree U.S. MidCap Dividend Fund,USA,Exchange Traded Fund,-,-,206.10K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1798,DOO [NYSE],WisdomTree International Dividend ex-Financials Fund,USA,Exchange Traded Fund,-,-,8.01K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1799,DOOO [NASD],BRP Inc.,Canada,Recreational Vehicles,3.04B,7.72,133.15K,-,-,4,,"Valcourt, Canada",10000+ Employees,1937,$2 to $5 billion (USD),75,83
1800,DOOR [NYSE],Masonite International Corporation,USA,Building Products & Equipment,2.66B,31.67,126.70K,57.90%,15.35%,3.4,,"Tampa, FL",5001 to 10000 Employees,1928,$2 to $5 billion (USD),66,91
1801,DORM [NASD],"Dorman Products, Inc.",USA,Auto Parts,3.13B,11.17,114.87K,28.80%,10.63%,3.2,,"Colmar, PA",1001 to 5000 Employees,1918,$500 million to $1 billion (USD),52,72
1802,"DOV [NYSE, S&P 500]",Dover Corporation,USA,Specialty Industrial Machinery,20.38B,27.32,658.93K,1.90%,8.90%,3.4,,"Downers Grove, IL",10000+ Employees,1955,$5 to $10 billion (USD),59,87
1803,"DOW [NYSE, DJIA, S&P500]",Dow Inc.,USA,Chemicals,46.29B,19.75,4.41M,167.40%,-15.65%,4.1,,"Midland, MI",10000+ Employees,1897,$10+ billion (USD),84,87
1804,DOX [NASD],Amdocs Limited,USA,Software - Infrastructure,10.17B,28.03,844.83K,6.80%,8.70%,3.8,,"Chesterfield, MO",10000+ Employees,1982,$2 to $5 billion (USD),81,90
1805,DOYU [NASD],DouYu International Holdings Limited,China,Internet Content & Information,2.69B,18.82,2.74M,-133.30%,390.00%,4,,"Wuhan, China",1001 to 5000 Employees,null,Unknown / Non-Applicable,0,-1
1806,DPG [NYSE],Duff & Phelps Utility and Infrastructure Fund Inc.,USA,Closed-End Fund - Equity,527.60M,23.62,161.65K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1807,DPST [NYSE],Direxion Daily Regional Banks Bull 3X Shares,USA,Exchange Traded Fund,-,11.47,282.41K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1808,DPW [AMEX],"Ault Global Holdings, Inc.",USA,Electrical Equipment & Parts,132.29M,15.22,5.30M,83.80%,-,-1,,"West Jordan, UT",1 to 50 Employees,null,Unknown / Non-Applicable,-1,-1
1809,"DPZ [NYSE, S&P 500]","Domino's Pizza, Inc.",USA,Restaurants,17.69B,15.05,585.69K,29.70%,15.52%,3.5,,"Ann Arbor, MI",10000+ Employees,1960,$1 to $2 billion (USD),62,70
1810,DQ [NYSE],Daqo New Energy Corp.,China,Semiconductor Equipment & Materials,4.37B,119.57,2.67M,324.50%,-0.54%,4,,"Chongqing, China",1001 to 5000 Employees,null,$1 to $2 billion (USD),100,-1
1811,DRD [NYSE],DRDGOLD Limited,South Africa,Gold,903.00M,7.52,266.60K,601.80%,-53.44%,5,,"Rosebank, South Africa",1 to 50 Employees,null,Unknown / Non-Applicable,-1,-1
1812,"DRE [NYSE, S&P 500]",Duke Realty Corporation,USA,REIT - Industrial,17.99B,9.98,1.91M,-31.60%,1.63%,4,,"Indianapolis, IN",201 to 500 Employees,1972,$500 million to $1 billion (USD),67,100
1813,DRH [NYSE],DiamondRock Hospitality Company,USA,REIT - Hotel & Motel,2.08B,21.86,1.83M,-318.00%,112.10%,5,,"Bethesda, MD",1 to 50 Employees,null,$500 million to $1 billion (USD),100,100
1814,"DRI [NYSE, S&P 500]","Darden Restaurants, Inc.",USA,Restaurants,16.75B,49.53,1.52M,-107.00%,76.48%,-1,-1,-1,-1,-1,-1,-1,-1
1815,DRIO [NASD],DarioHealth Corp.,USA,Diagnostics & Research,341.18M,63.64,269.67K,39.80%,23.30%,4.7,,"New York, NY",51 to 200 Employees,null,Unknown / Non-Applicable,96,-1
1816,DRIP [NYSE],Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,USA,Exchange Traded Fund,-,-,3.64M,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1817,DRIV [NASD],Global X Autonomous & Electric Vehicles ETF,USA,Exchange Traded Fund,-,75.88,340.74K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1818,DRN [NYSE],Direxion Daily MSCI Real Estate Bull 3X Shares,USA,Exchange Traded Fund,-,-,484.85K,-,-,4.3,,"Austin, TX",5001 to 10000 Employees,1983,$5 to $10 billion (USD),85,96
1819,DRNA [NASD],"Dicerna Pharmaceuticals, Inc.",USA,Biotechnology,2.50B,18.46,736.45K,13.70%,-126.00%,4.6,,"Lexington, MA",51 to 200 Employees,2007,Unknown / Non-Applicable,95,99
1820,DRQ [NYSE],"Dril-Quip, Inc.",USA,Oil & Gas Equipment & Services,1.29B,-,211.63K,-300.00%,120.00%,3.5,,"Houston, TX",1001 to 5000 Employees,1981,$500 million to $1 billion (USD),45,67
1821,DRRX [NASD],DURECT Corporation,USA,Drug Manufacturers - Specialty & Generic,393.23M,352.04,779.34K,40.10%,-160.00%,2.6,,"Cupertino, CA",51 to 200 Employees,1998,$10 to $25 million (USD),33,0
1822,DRSK [AMEX],Aptus Defined Risk ETF,USA,Exchange Traded Fund,-,-,105.96K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1823,DRTT [NASD],DIRTT Environmental Solutions Ltd.,Canada,Engineering & Construction,306.55M,-,73.98K,-,-,3.5,,"Calgary, Canada",1001 to 5000 Employees,2004,$100 to $500 million (USD),58,74
1824,DRV [NYSE],Direxion Daily MSCI Real Estate Bear 3X Shares,USA,Exchange Traded Fund,-,-,166.16K,-,-,4.3,,"Austin, TX",5001 to 10000 Employees,1983,$5 to $10 billion (USD),85,96
1825,DRVN [NASD],Driven Brands Holdings Inc.,USA,Auto & Truck Dealerships,4.76B,-,495.12K,-154.30%,17.91%,2.5,,"Charlotte, NC",1001 to 5000 Employees,2006,$100 to $500 million (USD),37,43
1826,DRW [NYSE],WisdomTree Global ex-US Real Estate Fund,USA,Exchange Traded Fund,-,-,11.87K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1827,DS [NYSE],Drive Shack Inc.,USA,Leisure,321.33M,-,2.56M,-2.30%,-4.00%,2.9,,"New York, NY",1001 to 5000 Employees,null,Unknown / Non-Applicable,34,14
1828,DSAC [NASD],Duddell Street Acquisition Corp.,Hong Kong,Shell Companies,211.92M,-,64.46K,-,-,-1,,"Central, Hong Kong",Unknown,null,Unknown / Non-Applicable,-1,-1
1829,DSE [NYSE],Duff & Phelps Select MLP and Midstream Energy Fund,USA,Asset Management,24.06M,-,22.41K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1830,DSEY [NASD],"Diversey Holdings, Ltd.",United Kingdom,Personal Services,5.27B,-,1.15M,64.70%,25.61%,3.6,,"Fort Mill, SC",5001 to 10000 Employees,null,$2 to $5 billion (USD),62,84
1831,DSGN [NASD],"Design Therapeutics, Inc.",USA,Biotechnology,1.44B,24.62,198.98K,-304.40%,-36.60%,-1,,"Carlsbad, CA",Unknown,null,Unknown / Non-Applicable,-1,-1
1832,DSGX [NASD],The Descartes Systems Group Inc,Canada,Software - Application,5.58B,-,88.41K,36.10%,10.21%,4.2,,"Waterloo, Canada",1001 to 5000 Employees,1981,$100 to $500 million (USD),85,98
1833,DSI [NYSE],iShares MSCI KLD 400 Social ETF,USA,Exchange Traded Fund,-,-,152.20K,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
1834,DSKE [NASD],"Daseke, Inc.",USA,Trucking,437.33M,94.88,466.03K,99.80%,194.74%,1.9,,"Addison, TX",1001 to 5000 Employees,null,Unknown / Non-Applicable,0,-1
1835,DSL [NYSE],DoubleLine Income Solutions Fund,USA,Closed-End Fund - Debt,1.85B,66.86,253.52K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1836,DSM [NYSE],"BNY Mellon Strategic Municipal Bond Fund, Inc.",USA,Closed-End Fund - Debt,406.74M,-,75.76K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1837,DSP [NASD],Viant Technology Inc.,USA,Software - Application,1.68B,-,378.09K,133.60%,-17.40%,4,,"Foxborough, MA",5001 to 10000 Employees,2007,$500 million to $1 billion (USD),67,90
1838,DSPG [NASD],"DSP Group, Inc.",USA,Semiconductors,365.92M,55.29,160.56K,-455.10%,43.49%,4.4,,"Los Altos, CA",201 to 500 Employees,1987,$100 to $500 million (USD),99,99
1839,DSS [AMEX],"Document Security Systems, Inc.",USA,Specialty Business Services,46.03M,11.95,3.27M,119.40%,19.40%,3.6,,"Rochester, NY",51 to 200 Employees,1984,$10 to $25 million (USD),0,-1
1840,DSSI [NYSE],Diamond S Shipping Inc.,USA,Oil & Gas Midstream,406.02M,-,339.31K,330.20%,1494.10%,-1,,"Greenwich, CT",1 to 50 Employees,2019,$5 to $10 million (USD),-1,-1
1841,DSTL [NYSE],Distillate U.S. Fundamental Stability & Value ETF,USA,Exchange Traded Fund,-,4.25,46.10K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1842,DSU [NYSE],"BlackRock Debt Strategies Fund, Inc.",USA,Closed-End Fund - Debt,532.08M,-,126.82K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1843,DSWL [NASD],"Deswell Industries, Inc.",China,Electronic Components,72.98M,-,27.27K,718.40%,-,-1,,,Unknown,null,$50 to $100 million (USD),-1,-1
1844,DSX [NYSE],Diana Shipping Inc.,Greece,Marine Shipping,438.30M,761.33,1.25M,-848.60%,274.76%,4.4,,"Athens, Greece",51 to 200 Employees,null,$100 to $500 million (USD),100,100
1845,DT [NYSE],"Dynatrace, Inc.",USA,Software - Application,15.90B,-,1.55M,116.90%,26.29%,4.4,,"Waltham, MA",1001 to 5000 Employees,2005,Unknown / Non-Applicable,90,96
1846,DTD [NYSE],WisdomTree U.S. Total Dividend Fund,USA,Exchange Traded Fund,-,9.18,15.92K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1847,"DTE [NYSE, S&P 500]",DTE Energy Company,USA,Utilities - Regulated Electric,25.45B,-,920.76K,12.20%,2.01%,4.1,,"Detroit, MI",10000+ Employees,1903,$10+ billion (USD),78,92
1848,DTEA [NASD],DAVIDsTEA Inc.,Canada,Packaged Foods,131.17M,-,271.30K,-82.10%,-,3.6,,"Mont-Royal, Canada",1001 to 5000 Employees,2008,$100 to $500 million (USD),57,30
1849,DTEC [NYSE],ALPS Disruptive Technologies ETF,USA,Exchange Traded Fund,-,4.34,18.27K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1850,DTF [NYSE],DTF Tax-Free Income Inc.,USA,Closed-End Fund - Debt,105.54M,28.82,7.12K,-,-,4.2,,"Palo Alto, CA",10000+ Employees,1939,Unknown / Non-Applicable,87,94
1851,DTH [NYSE],WisdomTree International High Dividend Fund,USA,Exchange Traded Fund,-,-,11.47K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1852,DTIL [NASD],"Precision BioSciences, Inc.",USA,Biotechnology,615.74M,-,643.79K,5.30%,-15.70%,4.9,,"Durham, NC",201 to 500 Employees,2006,Unknown / Non-Applicable,97,100
1853,DTJ [NYSE],DTE Energy Company JR SUB DEB 76,USA,Exchange Traded Fund,-,-,28.75K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1854,DTN [NYSE],WisdomTree U.S. Dividend ex-Financials Fund,USA,Exchange Traded Fund,-,-,7.19K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1855,DTOCU [NASD],Digital Transformation Opportunities Corp.,USA,Shell Companies,-,-,86.12K,-,-,-1,,"Bellevue, WA",Unknown,null,Unknown / Non-Applicable,-1,-1
1856,DTSS [NASD],Datasea Inc.,China,Software - Infrastructure,52.88M,-,172.36K,-25.60%,-,4,,"Berkeley, CA",1 to 50 Employees,null,Unknown / Non-Applicable,100,-1
1857,DTST [NASD],Data Storage Corporation,USA,Information Technology Services,25.53M,-,60.37K,196.70%,-,4,,"New York, NY",1 to 50 Employees,null,$1 to $5 million (USD),66,-1
1858,DUDE [AMEX],Merlyn.AI SectorSurfer Momentum ETF,USA,Exchange Traded Fund,-,-,40.43K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1859,DUG [NYSE],ProShares UltraShort Oil & Gas,USA,Exchange Traded Fund,-,-,331.32K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1860,"DUK [NYSE, S&P 500]",Duke Energy Corporation,USA,Utilities - Regulated Electric,76.46B,57.38,3.52M,-66.40%,5.56%,4,,"Charlotte, NC",10000+ Employees,1917,$10+ billion (USD),81,85
1861,DUKH [NYSE],Duke Energy Corporation JR SUB DEB 73,USA,Exchange Traded Fund,-,18.23,23.63K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1862,DUNE [NASD],Dune Acquisition Corporation,USA,Shell Companies,168.70M,-,47.18K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1863,DUNEU [NASD],Dune Acquisition Corporation,USA,Shell Companies,-,-,29.81K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1864,DUO [NASD],Fangdd Network Group Ltd.,China,Real Estate Services,231.32M,-,273.82K,84.10%,67.08%,-1,,"Shenzhen, China",1001 to 5000 Employees,null,Unknown / Non-Applicable,-1,-1
1865,DUOT [NASD],"Duos Technologies Group, Inc.",USA,Software - Application,37.71M,-,30.38K,-46.50%,-,1.8,,"Jacksonville, FL",51 to 200 Employees,null,$10 to $25 million (USD),22,40
1866,DURA [AMEX],VanEck Vectors Morningstar Durable Dividend ETF,USA,Exchange Traded Fund,-,-,6.35K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1867,DUSA [AMEX],Davis Select U.S. Equity ETF,USA,Exchange Traded Fund,-,-,14.61K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1868,DUSL [NYSE],Direxion Daily Industrials Bull 3X Shares,USA,Exchange Traded Fund,-,-,146.03K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1869,DUST [NYSE],Direxion Daily Gold Miners Index Bear 2X Shares,USA,Exchange Traded Fund,-,3.07,2.59M,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1870,DV [NYSE],"DoubleVerify Holdings, Inc.",USA,Software - Application,5.79B,244.62,663.99K,-12.20%,71.37%,3.9,,"New York, NY",201 to 500 Employees,2008,Unknown / Non-Applicable,76,100
1871,"DVA [NYSE, S&P 500]",DaVita Inc.,USA,Medical Care Facilities,12.87B,96.38,643.19K,39.30%,12.35%,3.5,,"Denver, CO",10000+ Employees,1994,$1 to $2 billion (USD),65,84
1872,DVAX [NASD],Dynavax Technologies Corporation,USA,Biotechnology,1.04B,18.26,2.74M,65.50%,-1.47%,3,,"Berkeley, CA",201 to 500 Employees,1996,$10 to $25 million (USD),52,65
1873,DVD [NYSE],"Dover Motorsports, Inc.",USA,Leisure,84.89M,12.68,27.96K,36.50%,-,3.1,,"Dover, DE",51 to 200 Employees,null,$25 to $50 million (USD),47,73
1874,DVLU [NASD],First Trust Dorsey Wright Momentum & Value ETF,USA,Exchange Traded Fund,-,-,36.67K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1875,"DVN [NYSE, S&P 500]",Devon Energy Corporation,USA,Oil & Gas E&P,18.17B,16.69,11.15M,2544.40%,31.65%,3.9,,"Oklahoma City, OK",5001 to 10000 Employees,null,$10+ billion (USD),65,53
1876,DVOL [NASD],First Trust Dorsey Wright Momentum & Low Volatility ETF,USA,Exchange Traded Fund,-,11.37,31.54K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1877,DVY [NASD],iShares Select Dividend ETF,USA,Exchange Traded Fund,-,-,735.14K,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
1878,DVYA [NYSE],iShares Asia/Pacific Dividend ETF,USA,Exchange Traded Fund,-,-,8.83K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1879,DVYE [NYSE],iShares Emerging Markets Dividend ETF,USA,Exchange Traded Fund,-,-,119.68K,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
1880,DWAS [NASD],Invesco DWA SmallCap Momentum ETF,USA,Exchange Traded Fund,-,-,35.27K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1881,DWAW [NASD],AdvisorShares Dorsey Wright FSM All Cap World ETF,USA,Exchange Traded Fund,-,-,17.30K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1882,DWEQ [NASD],AdvisorShares Dorsey Wright Alpha Equal Weight ETF,USA,Exchange Traded Fund,-,-,6.36K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1883,DWIN [NYSE],Invesco DWA Tactical Multi-Asset Income ETF,USA,Shell Companies,252.15M,-,45.45K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1884,DWLD [AMEX],Davis Select Worldwide ETF,USA,Exchange Traded Fund,-,-,32.37K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1885,DWM [NYSE],WisdomTree International Equity Fund,USA,Exchange Traded Fund,-,-,23.21K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1886,DWPP [NASD],First Trust Dorsey Wright People's Portfolio ETF,USA,Exchange Traded Fund,-,-,1.66K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1887,DWSH [NASD],AdvisorShares Dorsey Wright Short ETF,USA,Exchange Traded Fund,-,-,25.51K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1888,DWSN [NASD],Dawson Geophysical Company,USA,Oil & Gas Equipment & Services,60.87M,-,39.18K,14.00%,-,4.3,,"Midland, TX",1001 to 5000 Employees,null,$100 to $500 million (USD),79,100
1889,DWUS [NASD],AdvisorShares Dorsey Wright FSM US Core ETF,USA,Exchange Traded Fund,-,-,6.11K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1890,DWX [NYSE],SPDR S&P International Dividend ETF,USA,Exchange Traded Fund,-,-,44.13K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1891,DX [NYSE],"Dynex Capital, Inc.",USA,REIT - Mortgage,595.35M,-,463.17K,198.80%,0.47%,5,,"Glen Allen, VA",1 to 50 Employees,null,$100 to $500 million (USD),100,-1
1892,"DXC [NYSE, S&P 500]",DXC Technology Company,USA,Information Technology Services,9.21B,1.21,2.39M,97.10%,21.65%,3.3,,"Tysons Corner, VA",10000+ Employees,2017,$10+ billion (USD),59,80
1893,"DXCM [NASD, S&P 500]","DexCom, Inc.",USA,Diagnostics & Research,40.33B,10.02,769.32K,362.20%,47.19%,4.1,,"San Diego, CA",5001 to 10000 Employees,1999,$1 to $2 billion (USD),80,90
1894,DXD [NYSE],ProShares UltraShort Dow30,USA,Exchange Traded Fund,-,-,1.53M,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1895,DXF [AMEX],Dunxin Financial Holdings Limited,China,Credit Services,30.02M,8.44,1.38M,-66.10%,-,-1,-1,-1,-1,-1,-1,-1,-1
1896,DXJ [NYSE],WisdomTree Japan Hedged Equity Fund,USA,Exchange Traded Fund,-,80.67,365.68K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1897,DXJS [NASD],WisdomTree Japan Hedged SmallCap Equity Fund,USA,Exchange Traded Fund,-,125.92,2.19K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1898,DXPE [NASD],"DXP Enterprises, Inc.",USA,Industrial Distribution,542.92M,-,84.10K,-183.30%,0.00%,3.1,,"Houston, TX",1001 to 5000 Employees,1908,$1 to $2 billion (USD),55,67
1899,DXR [AMEX],Daxor Corporation,USA,Asset Management,48.88M,-,18.82K,-227.50%,-,1.6,,"New York, NY",1 to 50 Employees,null,$1 to $5 million (USD),21,0
1900,EAC [NASD],Edify Acquisition Corp.,USA,Shell Companies,335.04M,-,24.99K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1901,EACPU [NASD],Edify Acquisition Corp.,USA,Shell Companies,-,-,34.11K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1902,EAD [NYSE],Wells Fargo Income Opportunities Fund,USA,Asset Management,526.49M,-,157.79K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1903,EAF [NYSE],GrafTech International Ltd.,USA,Electrical Equipment & Parts,3.07B,-,2.91M,-37.10%,25.73%,2.9,,"Independence, OH",201 to 500 Employees,1993,Less than $1 million (USD),41,55
1904,EAGG [NYSE],iShares ESG U.S. Aggregate Bond ETF,USA,Exchange Traded Fund,-,59.12,113.53K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1905,EAPR [NYSE],Innovator MSCI EM Power Buffer ETF - April,USA,Exchange Traded Fund,-,-,22.98K,-,-,4.5,,"Vienna, VA",1 to 50 Employees,2001,$5 to $10 million (USD),90,100
1906,EAR [NASD],"Eargo, Inc.",USA,Medical Devices,1.39B,7.62,575.56K,-51.60%,30.90%,4.3,,"San Jose, CA",201 to 500 Employees,2010,Unknown / Non-Applicable,82,86
1907,EARN [NYSE],Ellington Residential Mortgage REIT,USA,REIT - Mortgage,157.19M,5.59,124.21K,-8.80%,-4.90%,-1,-1,-1,-1,-1,-1,-1,-1
1908,EARS [NASD],Auris Medical Holding Ltd.,Bermuda,Biotechnology,41.20M,-,3.70M,40.20%,-,3.7,,"Redwood City, CA",201 to 500 Employees,2007,$25 to $50 million (USD),66,84
1909,EASG [NYSE],Xtrackers MSCI EAFE ESG Leaders Equity ETF,USA,Exchange Traded Fund,-,-,2.44K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1910,EAST [NASD],"Eastside Distilling, Inc.",USA,Beverages - Wineries & Distilleries,33.75M,-,289.57K,32.00%,48.10%,4.1,,"Portland, OR",1 to 50 Employees,null,$1 to $5 million (USD),59,100
1911,EAT [NYSE],"Brinker International, Inc.",USA,Restaurants,2.54B,-,1.03M,-84.20%,61.40%,3.7,,"Dallas, TX",10000+ Employees,1975,$2 to $5 billion (USD),70,89
1912,EATZ [NYSE],AdvisorShares Restaurant ETF,USA,Exchange Traded Fund,-,3265.29,12.35K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1913,EB [NYSE],"Eventbrite, Inc.",USA,Software - Application,1.79B,11.17,1.34M,-199.90%,65.80%,4,,"San Francisco, CA",501 to 1000 Employees,2006,$100 to $500 million (USD),76,76
1914,EBACU [NASD],European Biotech Acquisition Corp.,Netherlands,Shell Companies,-,-,62.13K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
1915,"EBAY [NASD, S&P 500]",eBay Inc.,USA,Internet Retail,42.85B,-,7.59M,99.90%,14.50%,4,,"San Jose, CA",10000+ Employees,1995,$10+ billion (USD),77,88
1916,EBC [NASD],"Eastern Bankshares, Inc.",USA,Banks - Regional,3.99B,-,985.80K,-83.20%,34.97%,4.1,,"Boston, MA",1001 to 5000 Employees,1989,$500 million to $1 billion (USD),83,94
1917,EBET [NASD],"Esports Technologies, Inc.",USA,Gambling,263.80M,-,717.01K,-,-,-1,,"Las Vegas, NV",Unknown,null,Unknown / Non-Applicable,-1,-1
1918,EBF [NYSE],"Ennis, Inc.",USA,Business Equipment & Supplies,531.07M,-,97.84K,-37.00%,-,2.9,,"Midlothian, TX",1001 to 5000 Employees,1909,$100 to $500 million (USD),42,44
1919,EBIX [NASD],"Ebix, Inc.",USA,Software - Application,956.96M,-,397.63K,-4.40%,27.15%,3,,"Johns Creek, GA",5001 to 10000 Employees,1967,$100 to $500 million (USD),43,38
1920,EBIZ [NASD],Global X E-commerce ETF,USA,Exchange Traded Fund,-,-,40.02K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
